[NumberOfWaves] 100
=================================
0.000079	26.000000	0.000000	2.353305
0.000417	24.750000	0.000000	5.973514
0.001512	23.614679	0.000000	4.599254
0.004131	22.578947	0.000000	3.761482
0.009103	21.630252	0.000000	0.980294
0.016994	20.758065	0.000000	0.980142
0.027890	19.953488	0.000000	0.364950
0.041375	19.208955	0.000000	5.442345
0.056671	18.517986	0.000000	3.776917
0.072846	17.875000	0.000000	4.448951
0.089031	17.275168	0.000000	0.129336
0.104609	16.714286	0.000000	6.094123
0.119435	16.188679	0.000000	5.230391
0.134090	15.695122	0.000000	1.334166
0.150079	15.230769	0.000000	1.142440
0.169750	14.793103	0.000000	1.152365
0.195538	14.379888	0.000000	1.911610
0.228069	13.989130	0.000000	3.297142
0.263200	13.619048	0.000000	2.713991
0.290448	13.268041	0.000000	1.829847
0.297927	12.934673	0.000000	3.844385
0.287359	12.617647	0.000000	0.876466
0.265268	12.315789	0.000000	1.835599
0.238074	12.028037	0.000000	2.301919
0.211548	11.753425	0.000000	2.865572
0.189024	11.491071	0.000000	4.933406
0.171482	11.240175	0.000000	1.254587
0.158460	11.000000	0.000000	3.231030
0.148913	10.769874	0.000000	3.722251
0.141744	10.549180	0.000000	0.291857
0.136052	10.337349	0.000000	3.817317
0.131208	10.133858	0.000000	1.071435
0.126822	9.938224	0.000000	0.408731
0.122685	9.750000	0.000000	5.962024
0.118700	9.568773	0.000000	6.067245
0.114829	9.394161	0.000000	5.079310
0.111061	9.225806	0.000000	1.913945
0.107397	9.063380	0.000000	0.613692
0.103840	8.906574	0.000000	4.299163
0.100394	8.755102	0.000000	2.765560
0.097060	8.608696	0.000000	0.766789
0.093839	8.467105	0.000000	3.111288
0.090731	8.330097	0.000000	0.216069
0.087735	8.197452	0.000000	5.713429
0.084850	8.068966	0.000000	1.625963
0.082072	7.944444	0.000000	4.162750
0.079399	7.823708	0.000000	1.958538
0.076829	7.706587	0.000000	3.267684
0.074358	7.592920	0.000000	3.435082
0.071982	7.482558	0.000000	1.161475
0.069699	7.375358	0.000000	6.092080
0.067506	7.271186	0.000000	4.870303
0.065397	7.169916	0.000000	5.903046
0.063372	7.071429	0.000000	5.622366
0.061425	6.975610	0.000000	3.756716
0.059554	6.882353	0.000000	5.792307
0.057756	6.791557	0.000000	0.556015
0.056027	6.703125	0.000000	1.231397
0.054365	6.616967	0.000000	0.284171
0.052767	6.532995	0.000000	2.044111
0.051230	6.451128	0.000000	2.442131
0.049751	6.371287	0.000000	1.704936
0.048328	6.293399	0.000000	5.207111
0.046958	6.217391	0.000000	2.241547
0.045640	6.143198	0.000000	1.765164
0.044370	6.070755	0.000000	3.409860
0.043147	6.000000	0.000000	0.885453
0.041969	5.930876	0.000000	5.040352
0.040834	5.863326	0.000000	0.468416
0.039739	5.797297	0.000000	6.200793
0.038684	5.732739	0.000000	4.852157
0.037666	5.669604	0.000000	1.248567
0.036684	5.607843	0.000000	0.034696
0.035737	5.547414	0.000000	5.123695
0.034822	5.488273	0.000000	4.441316
0.033939	5.430380	0.000000	4.580487
0.033086	5.373695	0.000000	4.846035
0.032262	5.318182	0.000000	0.465236
0.031466	5.263804	0.000000	2.252307
0.030697	5.210526	0.000000	0.728027
0.029952	5.158317	0.000000	5.423039
0.029233	5.107143	0.000000	3.916298
0.028537	5.056974	0.000000	2.079094
0.027863	5.007782	0.000000	0.399349
0.027211	4.959538	0.000000	1.953960
0.026580	4.912214	0.000000	2.043187
0.025968	4.865784	0.000000	4.584251
0.025376	4.820225	0.000000	4.005892
0.024803	4.775510	0.000000	5.574522
0.024247	4.731618	0.000000	2.967014
0.023708	4.688525	0.000000	0.751433
0.023185	4.646209	0.000000	4.481449
0.022678	4.604651	0.000000	4.780153
0.022187	4.563830	0.000000	3.526609
0.021710	4.523726	0.000000	4.844130
0.021247	4.484321	0.000000	3.102609
0.020797	4.445596	0.000000	3.284427
0.020361	4.407534	0.000000	2.686319
0.019937	4.370119	0.000000	0.159713
0.019525	4.333333	0.000000	0.677902
